Module	Section	Sample Name	Source
RSeQC	read_distribution	PP019_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP019_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP002_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP002_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP020_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP020_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP011_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP011_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP015_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP015_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP004_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP004_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP031_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP031_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP026_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP026_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP008_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP008_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP017_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP017_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP029_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP029_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP012_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP012_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP003_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP003_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP016_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP016_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP007_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP007_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP032_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP032_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP005_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP005_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP010_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP010_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP018_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP018_RSeQC_readDistribution.txt
RSeQC	read_distribution	PP027_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/merge/PP027_RSeQC_readDistribution.txt
featureCounts	all_sections	PP017_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP017_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP008_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP008_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP026_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP026_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP031_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP031_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP004_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP004_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP011_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP011_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP020_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP020_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP002_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP002_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP019_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP019_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP015_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP015_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP010_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP010_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP027_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP027_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP018_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP018_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP005_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP005_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP032_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP032_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP003_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP003_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP012_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP012_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP029_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP029_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP007_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP007_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP016_sorted_q10_mrkDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts/PP016_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP017_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP017_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP008_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP008_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP026_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP026_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP031_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP031_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP004_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP004_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP011_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP011_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP020_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP020_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP002_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP002_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP019_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP019_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP015_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP015_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP010_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP010_featureCounts_geneName.txt.summary
featureCounts	all_sections	PP027_sorted_q10_rmDup	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/counts_dedup/PP027_featureCounts_geneName.txt.summary
