Module	Section	Sample Name	Source
RSeQC	read_distribution	RSQ_067_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_067_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_076_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_076_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_160b_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_160b_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_135_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_135_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_072_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_072_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_070_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_070_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_069_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_069_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_078_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_078_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_177_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_177_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_074_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_074_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_171b_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_171b_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_132_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_132_RSeQC_readDistribution.txt
RSeQC	read_distribution	RSQ_141_RSeQC_readDistribution	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/merge/RSQ_141_RSeQC_readDistribution.txt
